22DUNK___SPA	1	5	329	27	愛知県	KOBAKA	658	神奈川県	CYBERX	658
5.1.1.___SPA	1	10	786	27	韓国	CHARM	1572	韓国	CHARM	1572
deep in you___SPA	1	5	333	27	愛知県	PEACE	666	愛知県	BBMART	666
Dr.LOVE___SPA	1	4	290	27	大阪府	IMOTO*	580	大阪府	IMOTO*	580
GENOM SCREAMS___SPA	1	9	536	29	東京都	MIKAMO	1072	韓国	KKM*	1072
gentle stress___SPA	1	9	728	28	香川県	F.NYN	1456	茨城県	KIDO.	1455
GRADIUSIC CYBER___SPA	1	7	609	29	東京都	DINASO	1215	神奈川県	I6VV	1214
Macho Gang___SPA	1	10	837	29	神奈川県	TATSU	1669	愛知県	PEACE	1664
PARANOIA MAX～DIRTY MIX～___SPA	1	8	562	29	富山県	RIOO	1124	愛知県	PEACE	1122
R3___SPA	1	6	454	27	愛知県	KOBAKA	908	神奈川県	CYBERX	908
RUGGED ASH___SPA	1	9	556	29	愛知県	PEACE	1104	茨城県	NUCHIO	1104
RUGGED ASH___SPL	1	11	1058	30	韓国	KKM*	2081	韓国	KKM*	2081
THE EARTH LIGHT___SPA	1	8	581	27	愛知県	KOBAKA	1162	韓国	DON*	1162
.59___SPA	2	7	584	29	愛知県	PEACE	1167	東京都	TETSUO	1166
Digital MinD(A/T Libra mix)___SPA	2	6	573	28	新潟県	REO	1138	埼玉県	KINUYO	1138
Electro Tuned(the SubS mix)___SPA	2	6	537	29	福島県	U*PAFE	1073	韓国	CHARM	1073
I Was The One___SPA	2	4	348	29	和歌山県	GIGANT	696	埼玉県	AARR88	695
Indigo Vision(full flavour hide around mix)___SPA	2	8	617	28	香川県	F.NYN	1234	神奈川県	CYBERX	1233
SP-TRIP MACHINE(for beatmania II)___SPA	2	4	324	27	大阪府	IMOTO*	648	大阪府	IMOTO*	648
Don't Stop!___SPA	3	4	453	27	東京都	RAQUEL	906	埼玉県	AARR88	906
era (nostalmix)___SPA	3	9	786	29	千葉県	U*TAKA	1566	愛知県	BBMART	1566
Holic___SPA	3	11	880	29	韓国	DON*	1752	韓国	DON*	1749
LEADING CYBER___SPA	3	7	645	28	愛知県	PEACE	1287	神奈川県	I6VV	1281
Presto___SPA	3	8	508	29	愛知県	KUREI	1016	茨城県	KIDO.	1016
R5___SPA	3	11	889	28	千葉県	U*TAKA	1778	千葉県	U*TAKA	1776
REINCARNATION___SPA	3	7	643	28	愛知県	PEACE	1285	愛知県	PEACE	1285
Schlagwerk___SPA	3	8	848	30	福島県	U*PAFE	1696	福島県	U*PAFE	1696
Skyscraper___SPA	3	7	629	28	大分県	ANDIRA	1256	青森県	CL0VER	1255
250bpm___SPA	4	10	726	29	愛知県	KUREI	1449	東京都	MIKAMO	1445
ABSOLUTE___SPA	4	10	1218	30	愛知県	PEACE	2430	愛知県	PEACE	2430
ABSOLUTE___SPL	4	11	1412	29	韓国	DON*	2807	韓国	DON*	2806
B4U___SPA	4	10	1014	29	韓国	DON*	2028	韓国	DON*	2026
Broken My Heart___SPA	4	9	914	28	岩手県	DOLCE.	1826	神奈川県	TATSU	1826
Burnin' The Floor___SPA	4	7	721	27	北海道	N!?	1442	神奈川県	CYBERX	1442
CHECKING YOU OUT___SPA	4	11	700	29	千葉県	U*TAKA	1392	千葉県	U*TAKA	1386
