22DUNK___SPN	香港	CELICA	234
22DUNK___SPH	香港	LOBOS	257
22DUNK___SPA	香港	NPC-06	643
5.1.1.___SPN	香港	NOB	186
5.1.1.___SPH	香港	ED	873
5.1.1.___SPA	香港	NPC-06	1541
deep in you___SPN	香港	CELICA	252
deep in you___SPH	香港	ED	432
deep in you___SPA	香港	NPC-06	648
Dr.LOVE___SPN	香港	BASH	373
Dr.LOVE___SPH	香港	BASH	485
Dr.LOVE___SPA	香港	NPC-06	555
GAMBOL___SPN	香港	NOB	270
GAMBOL___SPH	香港	NPC-06	267
GENOM SCREAMS___SPN	香港	CELICA	236
GENOM SCREAMS___SPH	香港	NOB	777
GENOM SCREAMS___SPA	香港	NPC-06	1035
gentle stress___SPN	香港	BASH	312
gentle stress___SPH	香港	EAGLE9	504
gentle stress___SPA	香港	NPC-69	1404
GRADIUSIC CYBER___SPN	香港	TONIE	276
GRADIUSIC CYBER___SPA	香港	NPC-06	1183
KEEP ON MOVIN'___SPN	香港	NOB	193
KEEP ON MOVIN'___SPH	香港	NPC-01	241
Macho Gang___SPN	香港	BASH	351
Macho Gang___SPH	香港	H!RO	957
Macho Gang___SPA	香港	NPC-08	1576
PARANOIA MAX～DIRTY MIX～___SPN	香港	BASH	488
PARANOIA MAX～DIRTY MIX～___SPH	香港	ED	630
PARANOIA MAX～DIRTY MIX～___SPA	香港	NPC-11	1051
R3___SPN	香港	ZENITH	382
R3___SPH	香港	CELICA	374
R3___SPA	香港	NPC-06	882
RUGGED ASH___SPN	香港	CELICA	246
RUGGED ASH___SPH	香港	CELICA	233
RUGGED ASH___SPA	香港	NPC-06	1061
RUGGED ASH___SPL	香港	NPC-04	1977
THE EARTH LIGHT___SPH	香港	GORENG	1012
THE EARTH LIGHT___SPA	香港	NPC-06	1148
.59___SPN	香港	BASH	653
.59___SPH	香港	NOB	980
.59___SPA	香港	NPC-11	1138
Digital MinD(A/T Libra mix)___SPN	香港	BASH	614
Digital MinD(A/T Libra mix)___SPH	香港	NOB	979
Digital MinD(A/T Libra mix)___SPA	香港	NPC-06	1099
Electro Tuned(the SubS mix)___SPN	香港	ERIC	608
Electro Tuned(the SubS mix)___SPH	香港	NOB	904
Electro Tuned(the SubS mix)___SPA	香港	NPC-06	1042
I Was The One___SPN	香港	NPC-01	518
I Was The One___SPH	香港	CELICA	295
I Was The One___SPA	香港	NPC-11	681
Indigo Vision(full flavour hide around mix)___SPN	香港	BASH	753
Indigo Vision(full flavour hide around mix)___SPH	香港	NOB	1012
Indigo Vision(full flavour hide around mix)___SPA	香港	NPC-06	1191
PUT YOUR FAITH IN ME(for beatmania II)___SPN	香港	A	331
PUT YOUR FAITH IN ME(for beatmania II)___SPH	香港	NPC-06	838
SP-TRIP MACHINE(for beatmania II)___SPN	香港	MRMOON	329
SP-TRIP MACHINE(for beatmania II)___SPA	香港	NPC-11	641
CAN'T STOP FALLIN'IN LOVE___SPN	香港	BASH	558
CAN'T STOP FALLIN'IN LOVE___SPH	香港	NPC-06	1234
Don't Stop!___SPN	香港	ED	721
Don't Stop!___SPA	香港	NPC-06	890
era (nostalmix)___SPN	香港	BASH	773
era (nostalmix)___SPH	香港	NPC-11	1043
era (nostalmix)___SPA	香港	RAMIEL	1402
Holic___SPN	香港	KAMEAS	754
Holic___SPH	香港	H!RO	1099
Holic___SPA	香港	NPC-04	1709
LEADING CYBER___SPH	香港	KUSOGE	1144
LEADING CYBER___SPA	香港	QIED	1190
Presto___SPN	香港	EAGLE9	350
Presto___SPH	香港	NPC-69	921
Presto___SPA	香港	NPC-06	975
R5___SPN	香港	BASH	689
R5___SPH	香港	BASH	988
R5___SPA	香港	NPC-08	1729
REINCARNATION___SPN	香港	B	500
REINCARNATION___SPH	香港	BBB	946
REINCARNATION___SPA	香港	NPC-06	1242
Schlagwerk___SPH	香港	ME.	858
Schlagwerk___SPA	香港	KY*	1633
Skyscraper___SPN	香港	ARA*SB	415
Skyscraper___SPA	香港	NPC-06	1234
Tangerine Stream___SPN	香港	BASH	233
Tangerine Stream___SPH	香港	NPC-11	387
THE SAFARI___SPB	香港	MARK57	302
THE SAFARI___SPN	香港	NOB	1167
THE SAFARI___SPH	香港	NPC-06	1718
250bpm___SPN	香港	BASH	557
250bpm___SPH	香港	H!RO	873
250bpm___SPA	香港	NPC-01	1340
ABSOLUTE___SPN	香港	NOB	1277
ABSOLUTE___SPH	香港	RETINA	1370
ABSOLUTE___SPA	香港	NPC-04	2352
ABSOLUTE___SPL	香港	QIED	2552
B4U___SPN	香港	NOB	1017
B4U___SPH	香港	RAMIEL	1415
B4U___SPA	香港	NPC-06	1945
Broken My Heart___SPN	香港	BASH	821
Broken My Heart___SPH	香港	BBB	1408
Broken My Heart___SPA	香港	NPC-06	1798
Burnin' The Floor___SPN	香港	AAAAAA	288
Burnin' The Floor___SPH	香港	KUSOGE	914
Burnin' The Floor___SPA	香港	BBB	1381
CHECKING YOU OUT___SPN	香港	TY	570
CHECKING YOU OUT___SPH	香港	NPC-69	762
CHECKING YOU OUT___SPA	香港	NPC-11	1248
Clione___SPN	香港	BASH	473
Clione___SPH	香港	NOB	914
Clione___SPA	香港	NPC-01	1532
Clione___SPL	香港	NPC-06	2147
DXY!___SPN	香港	ED	1003
DXY!___SPH	香港	NPC-69	1656
DXY!___SPA	香港	NPC-08	2065
empathy___SPN	香港	BASH	741
empathy___SPH	香港	ED	902
empathy___SPA	香港	MAY	1266
era (step mix)___SPN	香港	BASH	963
era (step mix)___SPH	香港	IIDX30	1197
era (step mix)___SPA	香港	.ZULA	1588
FLOWERS for ALBION___SPN	香港	CELICA	153
FLOWERS for ALBION___SPH	香港	NOB	411
HIGHER___SPN	香港	CELICA	327
HIGHER___SPH	香港	ED	807
HIGHER___SPA	香港	BBB	1202
Hitch Hiker2___SPN	香港	MBBBB	459
Hitch Hiker2___SPH	香港	ED	919
Hitch Hiker2___SPA	香港	NPC-04	1290
Hitch Hiker2___SPL	香港	NPC-NA	1836
Jam&Marmalade___SPA	香港	NPC-06	999
KAMIKAZE___SPN	香港	BASH	917
KAMIKAZE___SPH	香港	RYUTH	1318
KAMIKAZE___SPA	香港	NPC-06	2230
LOVE WILL・・・___SPN	香港	ACDE	233
LOVE WILL・・・___SPH	香港	NPC-69	697
LOVE WILL・・・___SPA	香港	CPL	1428
minimalian___SPN	香港	CELICA	259
minimalian___SPH	香港	BLACK	835
minimalian___SPA	香港	NPC-08	1356
Mr.T.(take me higher)___SPN	香港	ACDE	392
Mr.T.(take me higher)___SPH	香港	NOB	969
Mr.T.(take me higher)___SPA	香港	NPC-08	1713
starmine___SPB	香港	MA	335
starmine___SPN	香港	BASH	804
starmine___SPH	香港	BASH	1157
starmine___SPA	香港	QIED	1503
SWEET LAB___SPN	香港	LUNV.-	419
SWEET LAB___SPH	香港	BBB	903
SWEET LAB___SPA	香港	NPC-08	1300
Voltage (feat. Hidemaru)___SPN	香港	BASH	797
Voltage (feat. Hidemaru)___SPH	香港	NPC-05	1035
Voltage (feat. Hidemaru)___SPA	香港	NPC-11	1273
Abyss___SPN	香港	MAGI	810
Abyss___SPH	香港	NPC-06	1598
Abyss___SPA	香港	NPC-04	1848
in my eyes___SPN	香港	CELICA	415
in my eyes___SPA	香港	GURISU	1494
LOVE AGAIN TONIGHT～for Mellisa mix～___SPN	香港	*	438
