22DUNK___SPA	ニュージーランド	86TARO	621
5.1.1.___SPN	ニュージーランド	AAAAAA	104
5.1.1.___SPH	ニュージーランド	0N666	904
5.1.1.___SPA	ニュージーランド	GUEST.	1541
deep in you___SPN	ニュージーランド	GUEST.	480
deep in you___SPA	ニュージーランド	MA25DX	646
Dr.LOVE___SPN	ニュージーランド	KIDT!!	282
Dr.LOVE___SPH	ニュージーランド	HEEHO	296
Dr.LOVE___SPA	ニュージーランド	B.O.DY	564
GAMBOL___SPN	ニュージーランド	YOHAN	146
GAMBOL___SPH	ニュージーランド	MA25DX	272
GENOM SCREAMS___SPN	ニュージーランド	TEA	234
GENOM SCREAMS___SPA	ニュージーランド	MA25DX	1046
gentle stress___SPN	ニュージーランド	TM	173
gentle stress___SPH	ニュージーランド	ORANGE	401
gentle stress___SPA	ニュージーランド	B.O.DY	1409
GRADIUSIC CYBER___SPA	ニュージーランド	86TARO	936
KEEP ON MOVIN'___SPN	ニュージーランド	YU*QQQ	177
KEEP ON MOVIN'___SPH	ニュージーランド	B.O.DY	242
Macho Gang___SPN	ニュージーランド	IIDX30	367
Macho Gang___SPH	ニュージーランド	ADVAN	849
Macho Gang___SPA	ニュージーランド	IIDX30	1571
PARANOIA MAX～DIRTY MIX～___SPN	ニュージーランド	NAZU	439
PARANOIA MAX～DIRTY MIX～___SPA	ニュージーランド	MA25DX	1072
R3___SPN	ニュージーランド	86TARO	642
R3___SPH	ニュージーランド	HEEHO	257
R3___SPA	ニュージーランド	B.O.DY	874
RUGGED ASH___SPN	ニュージーランド	HEEHO	191
RUGGED ASH___SPH	ニュージーランド	IVAN	109
RUGGED ASH___SPA	ニュージーランド	REOPGG	984
RUGGED ASH___SPL	ニュージーランド	KOO	1911
THE EARTH LIGHT___SPN	ニュージーランド	MEOWBO	406
THE EARTH LIGHT___SPH	ニュージーランド	OTAKU.	466
THE EARTH LIGHT___SPA	ニュージーランド	86TARO	1065
.59___SPN	ニュージーランド	GIRAUD	135
.59___SPH	ニュージーランド	YAMA73	808
.59___SPA	ニュージーランド	KOO	1116
Digital MinD(A/T Libra mix)___SPN	ニュージーランド	HEEHO	332
Digital MinD(A/T Libra mix)___SPA	ニュージーランド	YUU	980
Electro Tuned(the SubS mix)___SPH	ニュージーランド	DEJIKO	856
Electro Tuned(the SubS mix)___SPA	ニュージーランド	AO1	910
I Was The One___SPN	ニュージーランド	CLITE	376
I Was The One___SPA	ニュージーランド	IIDX30	686
Indigo Vision(full flavour hide around mix)___SPN	ニュージーランド	KM	433
Indigo Vision(full flavour hide around mix)___SPA	ニュージーランド	UE8RAI	1156
PUT YOUR FAITH IN ME(for beatmania II)___SPN	ニュージーランド	ORANGE	347
PUT YOUR FAITH IN ME(for beatmania II)___SPH	ニュージーランド	UE8RAI	834
SP-TRIP MACHINE(for beatmania II)___SPN	ニュージーランド	YUKINE	292
SP-TRIP MACHINE(for beatmania II)___SPA	ニュージーランド	HIDSUD	10
CAN'T STOP FALLIN'IN LOVE___SPN	ニュージーランド	CLITE	285
CAN'T STOP FALLIN'IN LOVE___SPH	ニュージーランド	B.O.DY	1226
Don't Stop!___SPN	ニュージーランド	MEOWBO	540
Don't Stop!___SPA	ニュージーランド	MA25DX	895
era (nostalmix)___SPN	ニュージーランド	HEEHO	381
era (nostalmix)___SPH	ニュージーランド	8UN#P3	968
era (nostalmix)___SPA	ニュージーランド	MUR364	1464
Holic___SPN	ニュージーランド	ADVAN	578
Holic___SPA	ニュージーランド	B.O.DY	1663
LEADING CYBER___SPH	ニュージーランド	GUEST.	1136
LEADING CYBER___SPA	ニュージーランド	C4R0	1147
Presto___SPA	ニュージーランド	MA25DX	989
R5___SPN	ニュージーランド	HEEHO	342
R5___SPH	ニュージーランド	C4R0	1105
R5___SPA	ニュージーランド	IIDX30	1732
REINCARNATION___SPH	ニュージーランド	0N666	920
REINCARNATION___SPA	ニュージーランド	KAIJIN	1120
Schlagwerk___SPA	ニュージーランド	KOO	1624
Skyscraper___SPN	ニュージーランド	HEEHO	445
Skyscraper___SPA	ニュージーランド	MA25DX	1200
Tangerine Stream___SPH	ニュージーランド	C4R0	389
THE SAFARI___SPB	ニュージーランド	RIBBON	177
THE SAFARI___SPN	ニュージーランド	B.O.DY	1171
THE SAFARI___SPH	ニュージーランド	MUR364	1720
250bpm___SPN	ニュージーランド	HEEHO	316
250bpm___SPH	ニュージーランド	KTGR	961
