22DUNK___SPN	栃木県	CHOBB	573
22DUNK___SPH	栃木県	MICACA	599
22DUNK___SPA	栃木県	ARIEN	601
5.1.1.___SPN	栃木県	ZABTON	192
5.1.1.___SPH	栃木県	MICACA	961
5.1.1.___SPA	栃木県	ARIEN	1580
deep in you___SPN	栃木県	SENJU.	534
deep in you___SPH	栃木県	PAE*RH	468
deep in you___SPA	栃木県	ARIEN	668
Dr.LOVE___SPN	栃木県	$EVAN$	513
Dr.LOVE___SPH	栃木県	$EVAN$	628
GAMBOL___SPN	栃木県	ZABTON	268
GAMBOL___SPH	栃木県	$EVAN$	267
GENOM SCREAMS___SPN	栃木県	10.	411
GENOM SCREAMS___SPH	栃木県	YOSHI	776
GENOM SCREAMS___SPA	栃木県	MICACA	974
gentle stress___SPN	栃木県	TA2	376
gentle stress___SPH	栃木県	MICACA	619
gentle stress___SPA	栃木県	MICACA	1488
GRADIUSIC CYBER___SPN	栃木県	PAE*RH	721
GRADIUSIC CYBER___SPH	栃木県	MICACA	994
GRADIUSIC CYBER___SPA	栃木県	RB**	1119
KEEP ON MOVIN'___SPN	栃木県	ARIEN	236
KEEP ON MOVIN'___SPH	栃木県	$EVAN$	234
Macho Gang___SPN	栃木県	CHOBB	456
Macho Gang___SPH	栃木県	ZABTON	1396
Macho Gang___SPA	栃木県	HI2G3	1346
PARANOIA MAX～DIRTY MIX～___SPN	栃木県	PAE*RH	521
PARANOIA MAX～DIRTY MIX～___SPH	栃木県	SENJU.	775
PARANOIA MAX～DIRTY MIX～___SPA	栃木県	HI2G3	1063
R3___SPN	栃木県	CHOBB	705
R3___SPH	栃木県	SENJU.	721
R3___SPA	栃木県	HI2G3	830
RUGGED ASH___SPN	栃木県	PAE*RH	357
RUGGED ASH___SPH	栃木県	PAE*RH	376
RUGGED ASH___SPA	栃木県	HI2G3	1175
RUGGED ASH___SPL	栃木県	ARIEN	2070
THE EARTH LIGHT___SPN	栃木県	PAE*RH	755
THE EARTH LIGHT___SPH	栃木県	HI2G3	1305
THE EARTH LIGHT___SPA	栃木県	KOZI04	1016
.59___SPN	栃木県	PAE*RH	787
.59___SPH	栃木県	CHOBB	917
.59___SPA	栃木県	SLEEPY	1078
Digital MinD(A/T Libra mix)___SPN	栃木県	CHOBB	678
Digital MinD(A/T Libra mix)___SPH	栃木県	HI2G3	1100
Electro Tuned(the SubS mix)___SPN	栃木県	SENJU.	845
Electro Tuned(the SubS mix)___SPH	栃木県	ZABTON	1044
I Was The One___SPN	栃木県	$EVAN$	405
I Was The One___SPH	栃木県	$EVAN$	534
Indigo Vision(full flavour hide around mix)___SPN	栃木県	CHOBB	803
Indigo Vision(full flavour hide around mix)___SPH	栃木県	HI2G3	1148
PUT YOUR FAITH IN ME(for beatmania II)___SPN	栃木県	CHOBB	551
PUT YOUR FAITH IN ME(for beatmania II)___SPH	栃木県	SENJU.	777
SP-TRIP MACHINE(for beatmania II)___SPN	栃木県	SENJU.	496
SP-TRIP MACHINE(for beatmania II)___SPH	栃木県	REGDNT	589
CAN'T STOP FALLIN'IN LOVE___SPN	栃木県	LALA.H	598
CAN'T STOP FALLIN'IN LOVE___SPH	栃木県	HI2G3	1185
Don't Stop!___SPN	栃木県	LALA.H	714
Don't Stop!___SPH	栃木県	MICACA	863
era (nostalmix)___SPN	栃木県	M-ZERO	790
era (nostalmix)___SPH	栃木県	Z-EAR	1703
era (nostalmix)___SPA	栃木県	Z-EAR	1972
Holic___SPN	栃木県	IS-M	1149
Holic___SPH	栃木県	Z-EAR	1571
Holic___SPA	栃木県	ARIEN	1840
LEADING CYBER___SPN	栃木県	CHOBB	875
LEADING CYBER___SPH	栃木県	MICACA	1122
LEADING CYBER___SPA	栃木県	AAAABB	1144
Presto___SPN	栃木県	CHOBB	497
Presto___SPH	栃木県	REGDNT	875
R5___SPN	栃木県	PAE*RH	773
R5___SPH	栃木県	CHOBB	1088
R5___SPA	栃木県	ARIEN	1678
REINCARNATION___SPN	栃木県	LALA.H	725
REINCARNATION___SPH	栃木県	MICACA	990
REINCARNATION___SPA	栃木県	REGDNT	1171
Schlagwerk___SPN	栃木県	PAE*RH	769
Schlagwerk___SPH	栃木県	Z-EAR	1834
Schlagwerk___SPA	栃木県	ARIEN	1957
Skyscraper___SPN	栃木県	$EVAN$	799
Skyscraper___SPH	栃木県	SENJU.	1159
Tangerine Stream___SPN	栃木県	SENJU.	298
Tangerine Stream___SPH	栃木県	$EVAN$	388
THE SAFARI___SPN	栃木県	GON	1060
THE SAFARI___SPH	栃木県	ZABTON	1595
250bpm___SPN	栃木県	PAE*RH	630
250bpm___SPH	栃木県	CHOBB	889
250bpm___SPA	栃木県	HI2G3	1225
ABSOLUTE___SPN	栃木県	CHOBB	1311
ABSOLUTE___SPH	栃木県	MICACA	1717
ABSOLUTE___SPA	栃木県	ZABTON	2418
ABSOLUTE___SPL	栃木県	ZABTON	2652
B4U___SPN	栃木県	SENJU.	1194
B4U___SPH	栃木県	HI2G3	1535
Broken My Heart___SPN	栃木県	LALA.H	739
Broken My Heart___SPH	栃木県	0R4N63	1257
Broken My Heart___SPA	栃木県	SLEEPY	1614
Burnin' The Floor___SPN	栃木県	$EVAN$	597
Burnin' The Floor___SPH	栃木県	SENJU.	925
Burnin' The Floor___SPA	栃木県	Z-EAR	1412
CHECKING YOU OUT___SPN	栃木県	M-ZERO	545
CHECKING YOU OUT___SPH	栃木県	Z-EAR	762
CHECKING YOU OUT___SPA	栃木県	MICACA	1188
Clione___SPN	栃木県	$EVAN$	526
Clione___SPH	栃木県	MICACA	919
Clione___SPA	栃木県	MICACA	1855
Clione___SPL	栃木県	ARIEN	2124
DXY!___SPN	栃木県	AAAABB	1349
DXY!___SPH	栃木県	Z-EAR	2124
DXY!___SPA	栃木県	N	2279
empathy___SPN	栃木県	PAE*RH	768
empathy___SPH	栃木県	Z-EAR	1650
era (step mix)___SPN	栃木県	PAE*RH	898
era (step mix)___SPH	栃木県	CHUNA1	1217
era (step mix)___SPA	栃木県	Z-EAR	1981
FLOWERS for ALBION___SPN	栃木県	$EVAN$	343
FLOWERS for ALBION___SPH	栃木県	REGDNT	385
HIGHER___SPN	栃木県	CHOBB	669
HIGHER___SPH	栃木県	SENJU.	1102
HIGHER___SPA	栃木県	ARIEN	1203
Hitch Hiker2___SPN	栃木県	CHOBB	942
Hitch Hiker2___SPH	栃木県	MICACA	1614
Hitch Hiker2___SPA	栃木県	HI2G3	1632
Hitch Hiker2___SPL	栃木県	ZABTON	1844
Jam&Marmalade___SPN	栃木県	CHOBB	571
Jam&Marmalade___SPH	栃木県	HI2G3	865
KAMIKAZE___SPN	栃木県	PAE*RH	939
KAMIKAZE___SPH	栃木県	$EVAN$	1425
KAMIKAZE___SPA	栃木県	Z-EAR	2195
LOVE WILL・・・___SPN	栃木県	SENJU.	642
LOVE WILL・・・___SPH	栃木県	CHOBB	992
LOVE WILL・・・___SPA	栃木県	SLEEPY	1416
minimalian___SPN	栃木県	SENJU.	514
minimalian___SPH	栃木県	MICACA	1148
minimalian___SPA	栃木県	ARIEN	1714
Mr.T.(take me higher)___SPN	栃木県	PAE*RH	785
Mr.T.(take me higher)___SPH	栃木県	ORION.	725
Mr.T.(take me higher)___SPA	栃木県	ZABTON	1669
starmine___SPN	栃木県	CHOBB	1038
starmine___SPH	栃木県	IIDX30	1308
starmine___SPA	栃木県	Z-EAR	1898
SWEET LAB___SPN	栃木県	CHOBB	786
SWEET LAB___SPH	栃木県	MICACA	1220
SWEET LAB___SPA	栃木県	ARIEN	1178
Voltage (feat. Hidemaru)___SPN	栃木県	HI2G3	912
Voltage (feat. Hidemaru)___SPH	栃木県	ARIEN	1734
Abyss___SPN	栃木県	$EVAN$	1388
Abyss___SPH	栃木県	MICACA	1623
Abyss___SPA	栃木県	ZABTON	1789
in my eyes___SPN	栃木県	SENJU.	931
in my eyes___SPH	栃木県	MICACA	1545
in my eyes___SPA	栃木県	SLEEPY	1889
LOVE AGAIN TONIGHT～for Mellisa mix～___SPN	栃木県	CHOBB	882
LOVE AGAIN TONIGHT～for Mellisa mix～___SPH	栃木県	SENJU.	1086
outer wall___SPN	栃木県	CHOBB	841
outer wall___SPH	栃木県	IIDX30	945
outer wall___SPA	栃木県	HI2G3	1645
QQQ___SPN	栃木県	IIDX30	1879
QQQ___SPH	栃木県	ZABTON	2408
Radical Faith___SPN	栃木県	AAAABB	1362
Radical Faith___SPH	栃木県	MICACA	2265
Radical Faith___SPA	栃木県	REGDNT	1975
Real___SPN	栃木県	SENJU.	1344
Real___SPH	栃木県	Z-EAR	1651
Real___SPA	栃木県	REGDNT	1914
Regulus___SPN	栃木県	CHOBB	830
Regulus___SPH	栃木県	Z-EAR	1381
Regulus___SPA	栃木県	HI2G3	1853
RIDE ON THE LIGHT (HI GREAT MIX)___SPN	栃木県	PAE*RH	839
RIDE ON THE LIGHT (HI GREAT MIX)___SPH	栃木県	R*	976
RIDE ON THE LIGHT (HI GREAT MIX)___SPA	栃木県	MICACA	1667
RIDE ON THE LIGHT (HI GREAT MIX)___SPL	栃木県	ZABTON	1900
RISLIM___SPN	栃木県	23ER5	728
RISLIM___SPH	栃木県	DOSA2	1184
sometime___SPN	栃木県	KANPEN	440
sometime___SPH	栃木県	MICACA	1221
sometime___SPA	栃木県	MICACA	1287
Spin the disc___SPN	栃木県	RYO-XI	972
Spin the disc___SPH	栃木県	HI2G3	1655
STILL IN MY HEART___SPN	栃木県	CHOBB	955
STILL IN MY HEART___SPH	栃木県	MICACA	1272
STILL IN MY HEART___SPA	栃木県	ZABTON	2190
still my words___SPN	栃木県	TA2	756
still my words___SPH	栃木県	HI2G3	1309
sync___SPN	栃木県	RYO-XI	1451
sync___SPH	栃木県	MICACA	1892
sync___SPA	栃木県	Z-EAR	2248
THE CUBE___SPH	栃木県	IIDX30	862
THE CUBE___SPA	栃木県	ARIEN	2015
THE SHINING POLARIS___SPN	栃木県	$EVAN$	912
THE SHINING POLARIS___SPH	栃木県	DOSA2	1238
V___SPN	栃木県	AISHIA	1237
V___SPH	栃木県	ZABTON	2534
V___SPA	栃木県	ZABTON	2737
19,November___SPN	栃木県	CHOBB	1037
19,November___SPH	栃木県	MICACA	1367
19,November___SPA	栃木県	ARIEN	1936
BALLAD FOR YOU～想いの雨～___SPN	栃木県	$EVAN$	729
BALLAD FOR YOU～想いの雨～___SPH	栃木県	SENJU.	1061
Blueberry Stream___SPN	栃木県	SENJU.	1026
Blueberry Stream___SPH	栃木県	MICACA	1424
Blueberry Stream___SPA	栃木県	Z-EAR	1467
Buffalo___SPH	栃木県	SENJU.	1362
Buffalo___SPA	栃木県	MICACA	1676
Buffalo___SPL	栃木県	REGDNT	2316
Colors (radio edit)___SPN	栃木県	CHOBB	1253
Colors (radio edit)___SPH	栃木県	Z-EAR	1842
Colors (radio edit)___SPA	栃木県	ZABTON	2176
DIVE ～INTO YOUR HEART～___SPN	栃木県	CHOBB	1085
DIVE ～INTO YOUR HEART～___SPH	栃木県	MICACA	1819
DIVE ～INTO YOUR HEART～___SPA	栃木県	HI2G3	1957
fly through the night___SPH	栃木県	MICACA	1246
fly through the night___SPA	栃木県	Z-EAR	1732
Free Style___SPN	栃木県	PAE*RH	872
Free Style___SPH	栃木県	HI2G3	1083
Frozen Ray (original mix)___SPN	栃木県	SENJU.	776
Frozen Ray (original mix)___SPH	栃木県	Z-EAR	1494
Frozen Ray (original mix)___SPA	栃木県	DOSA2	1685
G2___SPN	栃木県	KAIO-G	787
G2___SPH	栃木県	AAAABB	1527
G2___SPA	栃木県	ARIEN	2347
Linus___SPN	栃木県	LALA.H	980
Linus___SPH	栃木県	MICACA	1829
Linus___SPA	栃木県	HI2G3	2124
NEMESIS___SPN	栃木県	SENJU.	1130
NEMESIS___SPH	栃木県	DOSA2	1578
NEMESIS___SPA	栃木県	N	1981
rottel-da-sun___SPN	栃木県	PAE*RH	726
rottel-da-sun___SPH	栃木県	HI2G3	1287
route 80s___SPN	栃木県	CHOBB	961
route 80s___SPH	栃木県	Z-EAR	1332
route 80s___SPA	栃木県	ARIEN	1616
SOMETHING WONDERFUL___SPN	栃木県	$EVAN$	900
SOMETHING WONDERFUL___SPH	栃木県	CHUNA1	1258
