22DUNK___SPN	埼玉県	ZZYANN	598
22DUNK___SPH	埼玉県	NOBU	621
22DUNK___SPA	埼玉県	JIJII5	632
5.1.1.___SPN	埼玉県	REIJI	192
5.1.1.___SPH	埼玉県	A	997
5.1.1.___SPA	埼玉県	ENPIKA	1581
deep in you___SPN	埼玉県	ZZYANN	525
deep in you___SPH	埼玉県	ZZYANN	526
deep in you___SPA	埼玉県	JIJII5	696
Dr.LOVE___SPN	埼玉県	K.F	502
Dr.LOVE___SPH	埼玉県	JIJII5	630
GAMBOL___SPN	埼玉県	SCHOTT	268
GAMBOL___SPH	埼玉県	JIJII5	273
GENOM SCREAMS___SPN	埼玉県	MOCHI	418
GENOM SCREAMS___SPH	埼玉県	UNI	759
GENOM SCREAMS___SPA	埼玉県	JIJII5	1041
gentle stress___SPN	埼玉県	NSR	393
gentle stress___SPH	埼玉県	CLARIS	622
gentle stress___SPA	埼玉県	JIJII5	1519
GRADIUSIC CYBER___SPN	埼玉県	REIJI	770
GRADIUSIC CYBER___SPH	埼玉県	KUMA3	873
GRADIUSIC CYBER___SPA	埼玉県	JIJII5	1191
KEEP ON MOVIN'___SPN	埼玉県	JIJII5	237
KEEP ON MOVIN'___SPH	埼玉県	JIJII5	241
Macho Gang___SPN	埼玉県	REIJI	487
Macho Gang___SPH	埼玉県	466	1409
Macho Gang___SPA	埼玉県	JIJII5	1533
PARANOIA MAX～DIRTY MIX～___SPN	埼玉県	REIJI	538
PARANOIA MAX～DIRTY MIX～___SPH	埼玉県	YOC	774
PARANOIA MAX～DIRTY MIX～___SPA	埼玉県	JIJII5	1112
R3___SPN	埼玉県	A	752
R3___SPH	埼玉県	AIRSUN	759
R3___SPA	埼玉県	JIJII5	901
RUGGED ASH___SPN	埼玉県	KUMA3	355
RUGGED ASH___SPH	埼玉県	K.F	395
RUGGED ASH___SPA	埼玉県	SCHOTT	1145
RUGGED ASH___SPL	埼玉県	JIJII5	2144
THE EARTH LIGHT___SPN	埼玉県	ZZYANN	852
THE EARTH LIGHT___SPH	埼玉県	JIJII5	1335
THE EARTH LIGHT___SPA	埼玉県	YUKI	1068
.59___SPN	埼玉県	KUMA3	807
.59___SPH	埼玉県	ZZYANN	968
.59___SPA	埼玉県	JIJII5	1138
Digital MinD(A/T Libra mix)___SPN	埼玉県	ZZYANN	692
Digital MinD(A/T Libra mix)___SPH	埼玉県	JIJII5	1141
Electro Tuned(the SubS mix)___SPN	埼玉県	HARUKA	834
Electro Tuned(the SubS mix)___SPH	埼玉県	JIJII5	1078
I Was The One___SPN	埼玉県	ZZYANN	399
I Was The One___SPH	埼玉県	JIJII5	535
Indigo Vision(full flavour hide around mix)___SPN	埼玉県	KUMA3	801
Indigo Vision(full flavour hide around mix)___SPH	埼玉県	JIJII5	1165
PUT YOUR FAITH IN ME(for beatmania II)___SPN	埼玉県	KUMA3	531
PUT YOUR FAITH IN ME(for beatmania II)___SPH	埼玉県	JIJII5	830
SP-TRIP MACHINE(for beatmania II)___SPN	埼玉県	REIJI	485
SP-TRIP MACHINE(for beatmania II)___SPH	埼玉県	JIJII5	613
CAN'T STOP FALLIN'IN LOVE___SPN	埼玉県	REIJI	614
CAN'T STOP FALLIN'IN LOVE___SPH	埼玉県	JIJII5	1215
Don't Stop!___SPN	埼玉県	AIRSUN	762
Don't Stop!___SPH	埼玉県	JIJII5	892
era (nostalmix)___SPN	埼玉県	ZZYANN	830
era (nostalmix)___SPH	埼玉県	JIJII5	1766
era (nostalmix)___SPA	埼玉県	IIDX29	2181
Holic___SPN	埼玉県	ZZYANN	1184
Holic___SPH	埼玉県	TEA-KA	1608
Holic___SPA	埼玉県	TEA-KA	2026
LEADING CYBER___SPN	埼玉県	REIJI	871
LEADING CYBER___SPH	埼玉県	AIRSUN	1149
LEADING CYBER___SPA	埼玉県	JIJII5	1264
Presto___SPN	埼玉県	ZZYANN	525
Presto___SPH	埼玉県	JIJII5	989
