22DUNK___SPN	タイ	3-5	589
22DUNK___SPH	タイ	AXID	531
22DUNK___SPA	タイ	3-5	541
5.1.1.___SPN	タイ	B-RAX	135
5.1.1.___SPH	タイ	3-5	908
5.1.1.___SPA	タイ	YADORN	1570
deep in you___SPA	タイ	YADORN	663
Dr.LOVE___SPN	タイ	PUSAN?	394
Dr.LOVE___SPH	タイ	3-5	596
GAMBOL___SPN	タイ	PUSAN?	208
GAMBOL___SPH	タイ	3-5	238
GENOM SCREAMS___SPN	タイ	DOMHEE	320
GENOM SCREAMS___SPH	タイ	3-5	757
GENOM SCREAMS___SPA	タイ	3-5	935
gentle stress___SPH	タイ	3-5	591
gentle stress___SPA	タイ	3-5	1344
GRADIUSIC CYBER___SPA	タイ	OCTA8T	1065
KEEP ON MOVIN'___SPN	タイ	DJ7!	69
KEEP ON MOVIN'___SPH	タイ	HOTTEA	216
Macho Gang___SPN	タイ	DJ7!	93
Macho Gang___SPA	タイ	OCTA8T	1279
PARANOIA MAX～DIRTY MIX～___SPH	タイ	OCTA8T	725
PARANOIA MAX～DIRTY MIX～___SPA	タイ	3-5	987
R3___SPN	タイ	YADORN	741
R3___SPH	タイ	HOTTEA	704
R3___SPA	タイ	OCTA8T	796
RUGGED ASH___SPN	タイ	PUSAN?	258
RUGGED ASH___SPA	タイ	3-5	1100
THE EARTH LIGHT___SPH	タイ	OCTA8T	1279
THE EARTH LIGHT___SPA	タイ	3-5	375
.59___SPH	タイ	OPTN	819
Electro Tuned(the SubS mix)___SPH	タイ	3-5	964
I Was The One___SPN	タイ	DUO	264
I Was The One___SPH	タイ	AAAAAA	371
Indigo Vision(full flavour hide around mix)___SPN	タイ	CHAMP*	607
PUT YOUR FAITH IN ME(for beatmania II)___SPH	タイ	HOTTEA	656
SP-TRIP MACHINE(for beatmania II)___SPN	タイ	OCTA8T	470
SP-TRIP MACHINE(for beatmania II)___SPH	タイ	3-5	570
CAN'T STOP FALLIN'IN LOVE___SPH	タイ	3-5	1054
era (nostalmix)___SPN	タイ	109	602
era (nostalmix)___SPH	タイ	OCTA8T	1662
era (nostalmix)___SPA	タイ	OCTA8T	1908
Holic___SPH	タイ	3-5	1456
Holic___SPA	タイ	OCTA8T	1688
LEADING CYBER___SPN	タイ	3-5	864
Presto___SPH	タイ	YOUKAI	730
R5___SPH	タイ	GABBAH	922
R5___SPA	タイ	OCTA8T	1588
REINCARNATION___SPH	タイ	3-5	947
REINCARNATION___SPA	タイ	YOUKAI	953
Schlagwerk___SPN	タイ	UNIQUE	434
Schlagwerk___SPH	タイ	AXID	1555
Schlagwerk___SPA	タイ	OCTA8T	1823
Tangerine Stream___SPN	タイ	STANK	128
THE SAFARI___SPN	タイ	3-5	1053
THE SAFARI___SPH	タイ	3-5	1263
250bpm___SPH	タイ	HETA	406
250bpm___SPA	タイ	3-5	1030
ABSOLUTE___SPA	タイ	HOTTEA	2045
ABSOLUTE___SPL	タイ	YADORN	2821
B4U___SPN	タイ	BEATAO	566
B4U___SPH	タイ	OCTA8T	1489
Broken My Heart___SPA	タイ	YADORN	1741
CHECKING YOU OUT___SPH	タイ	YOUKAI	590
CHECKING YOU OUT___SPA	タイ	YOUKAI	885
Clione___SPH	タイ	876543	181
Clione___SPA	タイ	YADORN	1859
Clione___SPL	タイ	YADORN	2328
DXY!___SPN	タイ	3-5	1365
DXY!___SPH	タイ	OCTA8T	2071
DXY!___SPA	タイ	OCTA8T	2029
empathy___SPH	タイ	YADORN	1810
era (step mix)___SPA	タイ	OCTA8T	1929
FLOWERS for ALBION___SPN	タイ	3-5	326
FLOWERS for ALBION___SPH	タイ	OCTA8T	385
HIGHER___SPA	タイ	OCTA8T	1124
Hitch Hiker2___SPA	タイ	AXID	1409
Jam&Marmalade___SPH	タイ	HETA	541
KAMIKAZE___SPH	タイ	109	1090
KAMIKAZE___SPA	タイ	OCTA8T	2142
minimalian___SPN	タイ	3-5	505
minimalian___SPH	タイ	3-5	1036
minimalian___SPA	タイ	YADORN	1926
Mr.T.(take me higher)___SPH	タイ	3-5	905
starmine___SPH	タイ	HOTTEA	1342
starmine___SPA	タイ	YADORN	2117
SWEET LAB___SPH	タイ	YOUKAI	786
SWEET LAB___SPA	タイ	OCTA8T	1021
Voltage (feat. Hidemaru)___SPH	タイ	OCTA8T	1541
in my eyes___SPH	タイ	HOTTEA	1369
in my eyes___SPA	タイ	3-5	1627
LOVE AGAIN TONIGHT～for Mellisa mix～___SPN	タイ	YADORN	903
QQQ___SPN	タイ	HOTTEA	1762
QQQ___SPH	タイ	YADORN	2530
Radical Faith___SPH	タイ	YADORN	2386
Radical Faith___SPA	タイ	NMH	1314
Real___SPH	タイ	OPTN	1381
Real___SPA	タイ	YADORN	2133
Regulus___SPA	タイ	OCTA8T	1680
RIDE ON THE LIGHT (HI GREAT MIX)___SPN	タイ	CHAMP*	295
RIDE ON THE LIGHT (HI GREAT MIX)___SPA	タイ	3-5	1408
RIDE ON THE LIGHT (HI GREAT MIX)___SPL	タイ	OPTN	1407
RISLIM___SPH	タイ	HETA	765
sometime___SPH	タイ	YOUKAI	894
Spin the disc___SPH	タイ	OCTA8T	1602
STILL IN MY HEART___SPH	タイ	3-5	1202
STILL IN MY HEART___SPA	タイ	OCTA8T	1890
sync___SPN	タイ	UNIQUE	697
sync___SPH	タイ	HOTTEA	1664
sync___SPA	タイ	OCTA8T	2228
THE CUBE___SPH	タイ	OCTA8T	1185
THE CUBE___SPA	タイ	OCTA8T	1930
THE SHINING POLARIS___SPN	タイ	HETA	609
THE SHINING POLARIS___SPH	タイ	C*SHIN	853
V___SPA	タイ	OPTN	1667
19,November___SPN	タイ	YADORN	1136
19,November___SPH	タイ	3-5	1351
19,November___SPA	タイ	OCTA8T	1848
BALLAD FOR YOU～想いの雨～___SPH	タイ	AXID	875
Blueberry Stream___SPH	タイ	3-5	1258
Blueberry Stream___SPA	タイ	OCTA8T	1379
Buffalo___SPH	タイ	3-5	14
Buffalo___SPA	タイ	3-5	1507
Buffalo___SPL	タイ	3-5	1987
Colors (radio edit)___SPN	タイ	HETA	864
Colors (radio edit)___SPH	タイ	3-5	1575
Colors (radio edit)___SPA	タイ	OCTA8T	2020
DIVE ～INTO YOUR HEART～___SPH	タイ	HOTTEA	1552
fly through the night___SPA	タイ	3-5	1540
Free Style___SPN	タイ	HETA	598
Free Style___SPH	タイ	HETA	574
Frozen Ray (original mix)___SPH	タイ	NMH	989
Frozen Ray (original mix)___SPA	タイ	3-5	1472
G2___SPA	タイ	OCTA8T	2322
Linus___SPA	タイ	OCTA8T	1957
NEMESIS___SPN	タイ	3-5	385
NEMESIS___SPH	タイ	3-5	1253
rottel-da-sun___SPH	タイ	OCTA8T	1254
route 80s___SPH	タイ	YADORN	1393
route 80s___SPA	タイ	OCTA8T	1500
SOMETHING WONDERFUL___SPN	タイ	UNIQUE	599
SOMETHING WONDERFUL___SPH	タイ	3-5	1208
SOMETHING WONDERFUL___SPA	タイ	OCTA8T	1725
Summer Vacation(CU mix)___SPN	タイ	-CYSP-	1708
Summer Vacation(CU mix)___SPH	タイ	OCTA8T	2102
Take It Easy___SPH	タイ	3-5	2235
VJ ARMY___SPA	タイ	OCTA8T	1968
こっちを向いてよ___SPH	タイ	3-5	1207
こっちを向いてよ___SPA	タイ	OCTA8T	1806
A___SPN	タイ	YOUKAI	953
AVE DE RAPINA___SPH	タイ	3-5	1891
Bad Routine___SPN	タイ	HETA	764
Bad Routine___SPA	タイ	OCTA8T	1842
Cheer Train___SPN	タイ	UNIQUE	610
Cheer Train___SPH	タイ	3-5	1114
Cheer Train___SPA	タイ	OCTA8T	2078
D2R___SPH	タイ	HETA	598
DESTINY___SPH	タイ	3-5	1258
foreplay___SPH	タイ	3-5	928
foreplay___SPA	タイ	OCTA8T	1445
Glorious Days___SPN	タイ	HETA	524
Happy Wedding___SPH	タイ	3-5	1537
Happy Wedding___SPA	タイ	3-5	1732
Last Message___SPH	タイ	AXID	1218
Let the Snow Paint Me___SPN	タイ	HETA	600
Let the Snow Paint Me___SPH	タイ	HOTTEA	960
MAX 300___SPH	タイ	3-5	1433
MAX 300___SPA	タイ	YADORN	2829
Somebody Like You___SPH	タイ	3-5	1122
Somebody Like You___SPA	タイ	3-5	1574
Spica___SPN	タイ	3-5	629
Spica___SPH	タイ	3-5	1264
Spica___SPA	タイ	YADORN	2207
stoic___SPN	タイ	109	1220
stoic___SPH	タイ	3-5	1784
stoic___SPA	タイ	YADORN	2818
Tomorrow Perfume___SPH	タイ	3-5	1756
Tomorrow Perfume___SPA	タイ	OCTA8T	2055
traces___SPH	タイ	3-5	1489
traces___SPA	タイ	NMH	1332
ZERO-ONE___SPN	タイ	HETA	637
ZERO-ONE___SPA	タイ	3-5	1655
革命___SPN	タイ	HETA	641
革命___SPH	タイ	OCTA8T	1766
革命___SPA	タイ	OCTA8T	1902
abstract___SPH	タイ	YOUKAI	1338
airflow___SPN	タイ	AXID	501
airflow___SPH	タイ	3-5	687
